Date Purchased,Quantity,Player,Year,Set,Variation,Number,Category,Condition,Investment,Estimated Value,Ladder ID,Notes,Date Sold,Sold Price,Image
03/15/2024,1,Michael Jordan,1986,Fleer,Rookie,57,Basketball,PSA 8,18500,22500,CL-1001,Iconic rookie copy,,,https://example.com/jordan-fleer-57.jpg
04/02/2024,1,Shohei Ohtani,2018,Bowman Chrome,Pitching,1,Baseball,PSA 10,2400,3100,CL-1002,Two-way star rookie,,,https://example.com/ohtani-bowman-1.jpg
01/18/2024,1,Patrick Mahomes II,2017,Prizm,Silver,269,Football,BGS 9.5,3200,3600,CL-1003,QB rookie silver,,,https://example.com/mahomes-prizm-269.jpg
02/11/2024,2,Connor McDavid,2015,Upper Deck Young Guns,,201,Hockey,Raw,450,700,CL-1004,Two raw copies for grading,,,https://example.com/mcdavid-young-guns-201.jpg
05/09/2024,1,Lionel Messi,2014,Panini Prizm World Cup,,12,Soccer,PSA 9,900,1100,CL-1005,Argentina legend card,,,https://example.com/messi-prizm-12.jpg
06/22/2024,1,Serena Williams,2003,NetPro,,23,Tennis,SGC 9,275,390,CL-1006,Tennis GOAT card,,,https://example.com/serena-netpro-23.jpg
07/14/2024,1,The Rock,2022,Panini Prizm WWE,Blue Prizm,88,Wrestling,PSA 10,180,265,CL-1007,Popular WWE insert color,,,https://example.com/rock-prizm-88.jpg
08/03/2024,1,Charles Leclerc,2020,Topps Chrome F1,Refractor,41,Racing,PSA 10,220,340,CL-1008,F1 refractor rookie style,,,https://example.com/leclerc-topps-41.jpg
09/01/2024,1,Pikachu,1999,Pokemon Base Set,Shadowless,58,Pokemon,CGC 8.5,125,210,CL-1009,Classic shadowless copy,,,https://example.com/pikachu-base-58.jpg
10/10/2024,1,Tom Brady,2000,Bowman Chrome,,236,Football,PSA 7,5200,0,CL-1010,Sold test record,12/18/2024,6400,https://example.com/brady-bowman-236.jpg
